filename,Chain,Contract,arweave_image_url,metadata_tx_id,drive_id,Mint url,title,description,make,model,year,vehicle_type,uploaded_at,end date,Edition ?,JSON
CAR53RAZ17002026_ME.jpg,,,https://app.ardrive.io/#/file/c82a3988-4e5d-46e7-b089-23d7e951c6c4/view?fileKey=HFf56LQ8MBwJVekzSpGwErDHavV1HXmKv874rywaARs,e_ttWmzA7TET2mvmKIYnYglm0yt2PGmdNVb2OIlRxXM,f71311ea-9fd7-42e8-b468-6758ea6a63c5,,The Thing,Billboards along the highway are the original interactive entertainment for travelers,Nil,Nil,,Nil,2025-05-26,,,
Man-drving-trans-dropshadow.jpg,BASE 1155,0x1c6d27a76f4f706cccb698acc236c31f886c5421,https://arweave.net/mMJs74owoJPCVhufYBxcBUl0dGpVDsTT3BG6hNKi56s,,,https://app.manifold.xyz/c/man-driving-car,Man Driving Car ,Man Driving Car,Nil,Nil,Nil,Nil,2025-04-22,9/28/2025,,
CAR00JGG14226152-Barnfresh_wm.jpg,BASE 1155,0x1c6d27a76f4f706cccb698acc236c31f886c5421,https://arweave.net/qCO_kXgLaXhaVP8DqmTddFOW86YsLWnmU0hJA6S5fws,,,https://manifold.gallery/base:0x1c6d27a76f4f706cccb698acc236c31f886c5421?utm_source=collector_app&utm_medium=claim&utm_campaign=info_section,Barn Fresh,"Jaguar fresh from the ""barn"" and ready for the highest auto auction bidder",Jaguar,Jaguar XK120 Drophead Coupe,1953,"Drophead Coupe, Sports Car",2025-06-08,9/28/2025,,
Light Bulb Moment,BASE 1155,0x1c6d27a76f4f706cccb698acc236c31f886c5421,https://assets.manifold.xyz/optimized/9506c8005f134daeb4c9eb06e80fff99f42bb5b71467549e1ad8639ee906139f/w_1024.jpg,,,https://app.manifold.xyz/c/light-bulb-moment,Light Bub Moment,"When I was four-years-old, my father put me on his lap and let me drive our Volkswagen Beetle. My mother screamed. My father shifted the gears. I concentrated on keeping our precious bug on the road. This was my Light Bulb Moment: I morphed into what I am today, the Drivr.",Volkswagen,Beetle,1964,Coupe,4/22/2025,9/28/2025,25,
Bargemobile,BASE 7210x8ef0772347e0caed0119937175d7ef9636ae1aa0,0x8ef0772347e0caed0119937175d7ef9636ae1aa0,,,,,,,Cadillac,Cadillac Fleetwood Eldorado Convertible,1974,Convertible,2025-06-08,9/28/2025,10,https://enlo2moovwnwgkz3224sx3ulqqgs5iaatjyvrl3bq7norfa763ra.arweave.net/I1btMc6tm2MrO9a5K-6LhA0uoACacVivYYfa6JQf9uI/
Thunderbird at Lone Cypress,BASE 721,0x8ef0772347e0caed0119937175d7ef9636ae1aa0,https://arweave.net/nOVdYejNGUOh9cf3xxWEQNVMpSx6CY91VpnTUO0jgAs,,,,,,,,,,,9/28/2025,10,
Target Practice,BASE 721,0x8ef0772347e0caed0119937175d7ef9636ae1aa0,,,,,,,,,,,,,,
Westward Ho,L1 ERC 721 ,,,,,,,,,,,,,,,
Teenyosaurus,BASE 721,0x8ef0772347e0caed0119937175d7ef9636ae1aa0,"https://arweave.net/W4HXhc_KU9hBJw1L2geJ3CLuUK7111Hv05el0NpFe2g
",,,,,,Nash,Metropolitan,1955,Economy Car,,9/29/2025,25,https://6csb6mgwl4pxku7fjel5ojgmaguesili247mlgeambylpf34ui5q.arweave.net/8KQfMNZfH3VT5UkX1yTMAahJIWjXPsWYgGBwt5d8ojs
